id,value
TemporaryArchitecture,
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist,
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Aibophobia,114
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Cardencity,250
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Cardencity,250
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.ChapmansHomer,112
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Concrete&nbsp;Propositions,354
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.ContainerArt,196
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Crux,256
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Deconstruction,368
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Giraffing&nbsp;Around,322
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Government&nbsp;Life&nbsp;Suspension,370
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.homagetolostspaces,30
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.I&nbsp;Am,84
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.ISeemtohavetemporary&nbsp;misplacedmysenseofhumour,116
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.LytteltonLightInspiration,260
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.MeetMeOnTheOther&nbsp;Side,98
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Old&nbsp;Public&nbsp;Toilets,372
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Orange&nbsp;Tree,376
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Scape,104
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.SteepPeople,110
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.Udder,252
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.UpontheUplandRoad,258
TemporaryArchitecture.artwork&nbsp;by&nbsp;established&nbsp;artist.viewfromthestudio,32
TemporaryArchitecture.artworkbyamateur,
TemporaryArchitecture.artworkbyamateur.As&nbsp;Far&nbsp;As&nbsp;Eye&nbsp;Can&nbsp;See,170
TemporaryArchitecture.artworkbyamateur.bag&nbsp;o&nbsp;love,76
TemporaryArchitecture.artworkbyamateur.Container&nbsp;Love,378
TemporaryArchitecture.artworkbyamateur.Knit&nbsp;Happens,264
TemporaryArchitecture.artworkbyamateur.KnitHappens,264
TemporaryArchitecture.artworkbyamateur.Three&nbsp;Wise&nbsp;Men,254
TemporaryArchitecture.audio&nbsp;project,
TemporaryArchitecture.audio&nbsp;project.Transitional&nbsp;Audio&nbsp;Tour,374
TemporaryArchitecture.bar,
TemporaryArchitecture.bar.CoffeeZone,300
TemporaryArchitecture.bar.Great&nbsp;Depression,332
TemporaryArchitecture.bar.Jungle&nbsp;Patrol,126
TemporaryArchitecture.bar.Porthole,278
TemporaryArchitecture.bar.Samo&nbsp;Cafe,96
TemporaryArchitecture.bar.SamoCafe,96
TemporaryArchitecture.bar.Smash&nbsp;Palace,198
TemporaryArchitecture.bar.The&nbsp;Flying&nbsp;Cup,262
TemporaryArchitecture.bathing&#47;sauna,
TemporaryArchitecture.bathing&#47;sauna.Dino&nbsp;Sauna,186
TemporaryArchitecture.broadcast,
TemporaryArchitecture.broadcast.RDUnit,16
TemporaryArchitecture.church,
TemporaryArchitecture.church.Temporary&nbsp;Cathedral,88
TemporaryArchitecture.clean&nbsp;up,
TemporaryArchitecture.clean&nbsp;up.SVA&nbsp;Cleanup,232
TemporaryArchitecture.community&nbsp;space,
TemporaryArchitecture.community&nbsp;space.Butterfly&nbsp;Gap,192
TemporaryArchitecture.community&nbsp;space.Community&nbsp;Hub&nbsp;Sumner,220
TemporaryArchitecture.community&nbsp;space.Lions&nbsp;Transitional&nbsp;Facility,228
TemporaryArchitecture.community&nbsp;space.We&nbsp;Love&nbsp;Pop&nbsp;Up,122
TemporaryArchitecture.dance,
TemporaryArchitecture.dance.Dance&nbsp;o&nbsp;mat,178
TemporaryArchitecture.exhibition,
TemporaryArchitecture.exhibition.Art&nbsp;box,142
TemporaryArchitecture.exhibition.Canterbury&nbsp;Quakes,348
TemporaryArchitecture.exhibition.Chch-ThroughMyEyes&nbsp;,346
TemporaryArchitecture.exhibition.CocaWindowProjects,106
TemporaryArchitecture.exhibition.Dog&nbsp;Park&nbsp;Art&nbsp;Project&nbsp;Space,102
TemporaryArchitecture.exhibition.Green&nbsp;Frame&nbsp;Exhibition,338
TemporaryArchitecture.exhibition.infogap,28
TemporaryArchitecture.exhibition.Inside&nbsp;Out&nbsp;Project,340
TemporaryArchitecture.exhibition.Ortzeit,156
TemporaryArchitecture.exhibition.Quake&nbsp;City,342
TemporaryArchitecture.exhibition.Quake&nbsp;Map,344
TemporaryArchitecture.exhibition.reconstruction&nbsp;of&nbsp;a&nbsp;city,48
TemporaryArchitecture.exhibition.Thinking&nbsp;Outside&nbsp;the&nbsp;Square,352
TemporaryArchitecture.film&#47;cinema,
TemporaryArchitecture.film&#47;cinema.Cycle&nbsp;Powered&nbsp;Cinema,176
TemporaryArchitecture.film&#47;cinema.Film&nbsp;in&nbsp;the&nbsp;Gap,158
TemporaryArchitecture.film&#47;cinema.Tati,12
TemporaryArchitecture.garden&#47;park,
TemporaryArchitecture.garden&#47;park.BeachGarden,308
TemporaryArchitecture.garden&#47;park.CarParkFrontage,292
TemporaryArchitecture.garden&#47;park.Fitzgerald&nbsp;Community&nbsp;Garden,304
TemporaryArchitecture.garden&#47;park.Four&nbsp;Corners&nbsp;Youth&nbsp;Space&nbsp;,204
TemporaryArchitecture.garden&#47;park.Rotherdam&nbsp;Clock&nbsp;Park,310
TemporaryArchitecture.garden&#47;park.Salisbury&nbsp;St&nbsp;Garden,306
TemporaryArchitecture.garden&#47;park.St&nbsp;Lukes&nbsp;Labyrinth,210
TemporaryArchitecture.garden&#47;park.VictoriaGreen,290
TemporaryArchitecture.housing,
TemporaryArchitecture.housing.Bobo,150
TemporaryArchitecture.housing.Temporary&nbsp;Housing,280
TemporaryArchitecture.housing.Wikihouse,144
TemporaryArchitecture.libraries,
TemporaryArchitecture.libraries.temporary&nbsp;libraries,40
TemporaryArchitecture.libraries.Think&nbsp;Differently&nbsp;Book&nbsp;Exchange,166
TemporaryArchitecture.memorial,
TemporaryArchitecture.memorial.185&nbsp;Empty&nbsp;Chairs&nbsp;,100
TemporaryArchitecture.memorial.EmptyChairs,100
TemporaryArchitecture.memorial.Flowers&nbsp;in&nbsp;road&nbsp;cones,230
TemporaryArchitecture.memorial.River&nbsp;of&nbsp;flowers,54
TemporaryArchitecture.office&nbsp;space,
TemporaryArchitecture.office&nbsp;space.Box&nbsp;Quarter,148
TemporaryArchitecture.office&nbsp;space.Epic,8
TemporaryArchitecture.office&nbsp;space.Gap&nbsp;Filler&nbsp;Office,174
TemporaryArchitecture.office&nbsp;space.LIVS&nbsp;HQ,64
TemporaryArchitecture.office&nbsp;space.rebuild&nbsp;central,38
TemporaryArchitecture.performance&nbsp;venue,
TemporaryArchitecture.performance&nbsp;venue.Events&nbsp;Village,272
TemporaryArchitecture.performance&nbsp;venue.Outdoormusicroom,302
TemporaryArchitecture.performance&nbsp;venue.pallet&nbsp;pavillion,52
TemporaryArchitecture.performance&nbsp;venue.RentClub,14
TemporaryArchitecture.performance&nbsp;venue.Scaffold&nbsp;Pav,324
TemporaryArchitecture.performance&nbsp;venue.UCSA,240
TemporaryArchitecture.performance&nbsp;venue.Urban&nbsp;Poetry,182
TemporaryArchitecture.planning,
TemporaryArchitecture.planning.Magna&nbsp;Carta&nbsp;Chch,312
TemporaryArchitecture.planning.Share&nbsp;An&nbsp;Idea,274
TemporaryArchitecture.planning.The&nbsp;frame,136
TemporaryArchitecture.protest,
TemporaryArchitecture.protest.100&nbsp;days&nbsp;to&nbsp;reclaim&nbsp;democracy,26
TemporaryArchitecture.protest.Occupy&nbsp;Christchurch,56
TemporaryArchitecture.public&nbsp;campaign,
TemporaryArchitecture.public&nbsp;campaign.my&nbsp;word&nbsp;is&nbsp;yours,36
TemporaryArchitecture.public&nbsp;game,
TemporaryArchitecture.public&nbsp;game.500&nbsp;Days&nbsp;Churchill&nbsp;park,212
TemporaryArchitecture.public&nbsp;game.Christchurch&nbsp;A&nbsp;boardgame,214
TemporaryArchitecture.public&nbsp;game.Community&nbsp;Chess,172
TemporaryArchitecture.public&nbsp;game.CPIT&nbsp;Design&#47;Build,164
TemporaryArchitecture.public&nbsp;game.Foamapalooza,216
TemporaryArchitecture.public&nbsp;game.CPIT&nbsp;Design&#47;Build,164
TemporaryArchitecture.public&nbsp;game.LPC,168
TemporaryArchitecture.public&nbsp;safety&#47;exlusion,
