id,value
TemporaryArchitecture,
TemporaryArchitecture.artwork_by_established_artist,
TemporaryArchitecture.artwork_by_established_artist.Aibophobia,114
TemporaryArchitecture.artwork_by_established_artist.Cardencity,250
TemporaryArchitecture.artwork_by_established_artist.Cardencity,250
TemporaryArchitecture.artwork_by_established_artist.ChapmansHomer,112
TemporaryArchitecture.artwork_by_established_artist.Concrete&Propositions,354
TemporaryArchitecture.artwork_by_established_artist.ContainerArt,196
TemporaryArchitecture.artwork_by_established_artist.Crux,256
TemporaryArchitecture.artwork_by_established_artist.Deconstruction,368
TemporaryArchitecture.artwork_by_established_artist.Giraffing&Around,322
TemporaryArchitecture.artwork_by_established_artist.Government&Life&Suspension,370
TemporaryArchitecture.artwork_by_established_artist.homagetolostspaces,30
TemporaryArchitecture.artwork_by_established_artist.I&Am,84
TemporaryArchitecture.artwork_by_established_artist.ISeemtohavetemporary&misplacedmysenseofhumour,116
TemporaryArchitecture.artwork_by_established_artist.LytteltonLightInspiration,260
TemporaryArchitecture.artwork_by_established_artist.MeetMeOnTheOther&Side,98
TemporaryArchitecture.artwork_by_established_artist.Old&Public&Toilets,372
TemporaryArchitecture.artwork_by_established_artist.Orange&Tree,376
TemporaryArchitecture.artwork_by_established_artist.Scape,104
TemporaryArchitecture.artwork_by_established_artist.SteepPeople,110
TemporaryArchitecture.artwork_by_established_artist.Udder,252
TemporaryArchitecture.artwork_by_established_artist.UpontheUplandRoad,258
TemporaryArchitecture.artwork_by_established_artist.viewfromthestudio,32
TemporaryArchitecture.artworkbyamateur,
TemporaryArchitecture.artworkbyamateur.As&Far&As&Eye&Can&See,170
TemporaryArchitecture.artworkbyamateur.bag&o&love,76
TemporaryArchitecture.artworkbyamateur.Container&Love,378
TemporaryArchitecture.artworkbyamateur.Knit&Happens,264
TemporaryArchitecture.artworkbyamateur.KnitHappens,264
TemporaryArchitecture.artworkbyamateur.Three&Wise&Men,254
TemporaryArchitecture.audio&project,
TemporaryArchitecture.audio&project.Transitional&Audio&Tour,374
TemporaryArchitecture.bar,
TemporaryArchitecture.bar.CoffeeZone,300
TemporaryArchitecture.bar.Great&Depression,332
TemporaryArchitecture.bar.Jungle&Patrol,126
TemporaryArchitecture.bar.Porthole,278
TemporaryArchitecture.bar.Samo&Cafe,96
TemporaryArchitecture.bar.SamoCafe,96
TemporaryArchitecture.bar.Smash&Palace,198
TemporaryArchitecture.bar.The&Flying&Cup,262
TemporaryArchitecture.bathingSLASHsauna,
TemporaryArchitecture.bathingSLASHsauna.Dino&Sauna,186
TemporaryArchitecture.broadcast,
TemporaryArchitecture.broadcast.RDUnit,16
TemporaryArchitecture.church,
TemporaryArchitecture.church.Temporary&Cathedral,88
TemporaryArchitecture.clean&up,
TemporaryArchitecture.clean&up.SVA_Cleanup,232
TemporaryArchitecture.community&space,
TemporaryArchitecture.community&space.Butterfly_Gap,192
TemporaryArchitecture.community&space.Community&Hub_Sumner,220
TemporaryArchitecture.community&space.Lions&Transitional&Facility,228
TemporaryArchitecture.community&space.We&Love&Pop&Up,122
TemporaryArchitecture.dance,
TemporaryArchitecture.dance.Dance_o_mat,178
TemporaryArchitecture.exhibition,
TemporaryArchitecture.exhibition.Art&box,142
TemporaryArchitecture.exhibition.Canterbury&Quakes,348
TemporaryArchitecture.exhibition.Chch-ThroughMyEyes&,346
TemporaryArchitecture.exhibition.CocaWindowProjects,106
TemporaryArchitecture.exhibition.Dog&Park&Art&Project&Space,102
TemporaryArchitecture.exhibition.Green&Frame&Exhibition,338
TemporaryArchitecture.exhibition.infogap,28
TemporaryArchitecture.exhibition.Inside&Out&Project,340
TemporaryArchitecture.exhibition.Ortzeit,156
TemporaryArchitecture.exhibition.Quake&City,342
TemporaryArchitecture.exhibition.Quake&Map,344
TemporaryArchitecture.exhibition.reconstruction&of&a&city,48
TemporaryArchitecture.exhibition.Thinking&Outside&the&Square,352
TemporaryArchitecture.filmSLASHcinema,
TemporaryArchitecture.filmSLASHcinema.Cycle&Powered&Cinema,176
TemporaryArchitecture.filmSLASHcinema.Film&in&the&Gap,158
TemporaryArchitecture.filmSLASHcinema.Tati,12
TemporaryArchitecture.gardenSLASHpark,
TemporaryArchitecture.gardenSLASHpark.BeachGarden,308
TemporaryArchitecture.gardenSLASHpark.CarParkFrontage,292
TemporaryArchitecture.gardenSLASHpark.Fitzgerald&Community&Garden,304
TemporaryArchitecture.gardenSLASHpark.Four&Corners&Youth&Space&,204
TemporaryArchitecture.gardenSLASHpark.Rotherdam&Clock&Park,310
TemporaryArchitecture.gardenSLASHpark.Salisbury&St&Garden,306
TemporaryArchitecture.gardenSLASHpark.St&Lukes&Labyrinth,210
TemporaryArchitecture.gardenSLASHpark.VictoriaGreen,290
TemporaryArchitecture.housing,
TemporaryArchitecture.housing.Bobo,150
TemporaryArchitecture.housing.Temporary&Housing,280
TemporaryArchitecture.housing.Wikihouse,144
TemporaryArchitecture.libraries,
TemporaryArchitecture.libraries.temporary&libraries,40
TemporaryArchitecture.libraries.Think&Differently&Book&Exchange,166
TemporaryArchitecture.memorial,
TemporaryArchitecture.memorial.185&Empty&Chairs&,100
TemporaryArchitecture.memorial.EmptyChairs,100
TemporaryArchitecture.memorial.Flowers&in&road&cones,230
TemporaryArchitecture.memorial.River&of&flowers,54
TemporaryArchitecture.office&space,
TemporaryArchitecture.office&space.Box&Quarter,148
TemporaryArchitecture.office&space.Epic,8
TemporaryArchitecture.office&space.Gap&Filler&Office,174
TemporaryArchitecture.office&space.LIVS&HQ,64
TemporaryArchitecture.office&space.rebuild&central,38
TemporaryArchitecture.performance&venue,
TemporaryArchitecture.performance&venue.Events&Village,272
TemporaryArchitecture.performance&venue.Outdoormusicroom,302
TemporaryArchitecture.performance&venue.pallet&pavillion,52
TemporaryArchitecture.performance&venue.RentClub,14
TemporaryArchitecture.performance&venue.Scaffold&Pav,324
TemporaryArchitecture.performance&venue.UCSA,240
TemporaryArchitecture.performance&venue.Urban&Poetry,182
TemporaryArchitecture.planning,
TemporaryArchitecture.planning.Magna&Carta&Chch,312
TemporaryArchitecture.planning.Share&An&Idea,274
TemporaryArchitecture.planning.The&frame,136
TemporaryArchitecture.protest,
TemporaryArchitecture.protest.100&days&to&reclaim&democracy,26
TemporaryArchitecture.protest.Occupy&Christchurch,56
TemporaryArchitecture.public&campaign,
TemporaryArchitecture.public&campaign.my&word&is&yours,36
TemporaryArchitecture.public&game,
TemporaryArchitecture.public&game.500&Days&Churchill&park,212
TemporaryArchitecture.public&game.Christchurch_A&boardgame,214
TemporaryArchitecture.public&game.Community&Chess,172
