id,value
Transitional&Projects,
Transitional&Projects.Bar,
Transitional&Projects.Bar.18-Revival,18
Transitional&Projects.Bar.236-Volstead&trading&company,236
Transitional&Projects.Bar.278-Porthole,278
Transitional&Projects.Bar.332-The&great&depression,332
Transitional&Projects.Bathing,
Transitional&Projects.Bathing.186-Dino-sauna,186
Transitional&Projects.Broadcast,
Transitional&Projects.Broadcast.16-The&RDUnit,16
Transitional&Projects.Cafe,
Transitional&Projects.Cafe.96-Samo&Lyttelton&cafe,96
Transitional&Projects.Cafe.126-Jungle&patrol,126
Transitional&Projects.Cafe.262-The&flying&cup,262
Transitional&Projects.Cafe.300-Coffee&zone&mini-park,300
Transitional&Projects.Church,
Transitional&Projects.Church.88-Christchurch&transitional&cathedral,88
Transitional&Projects.Clean&up,
Transitional&Projects.Clean&up.232-SVA&-The&cleanup,232
Transitional&Projects.Community&space,
Transitional&Projects.Community&space.122-We&love&Popup,122
Transitional&Projects.Community&space.192-Butterfly&gap,192
Transitional&Projects.Community&space.220-Community&hub&-&Sumner,220
Transitional&Projects.Community&space.228-Lions&transitional&facility,228
Transitional&Projects.Dance,
Transitional&Projects.Dance.178-Dance-O-mat,178
Transitional&Projects.Education,
Transitional&Projects.Education.92-Kirkwood&village,92
Transitional&Projects.Education.282-Co-location&of&secondary&schools,282
Transitional&Projects.Exhibition,
Transitional&Projects.Exhibition.28-Infogap,28
Transitional&Projects.Exhibition.48-Reconstruction:&Conversations&on&a&city,48
Transitional&Projects.Exhibition.102-Dog&Park&art&project&apace,102
Transitional&Projects.Exhibition.106-COCA&window&projects,106
Transitional&Projects.Exhibition.142-Artbox,142
Transitional&Projects.Exhibition.156-Ortzeit/Local&time,156
Transitional&Projects.Exhibition.314-NZIA&pavilion,314
Transitional&Projects.Exhibition.336-Green&frame&exhibition,336
Transitional&Projects.Exhibition.338-Inside&out&project,338
Transitional&Projects.Exhibition.340-Quake&City,340
Transitional&Projects.Exhibition.342-Christchurch:&See&through&my&eyes,342
Transitional&Projects.Exhibition.344-Canterbury&quakes,344
Transitional&Projects.Exhibition.348-Thinking&outside&the&square,348
Transitional&Projects.Festival/event,
Transitional&Projects.Festival/event.50-Luxcity,50
Transitional&Projects.Festival/event.94-Buskers&Festival&relocation,94
Transitional&Projects.Festival/event.154-Gap&Filler&#1,154
Transitional&Projects.Festival/event.160-Gap&Filler&fun&fair,160
Transitional&Projects.Festival/event.184-Re:entry,184
Transitional&Projects.Festival/event.234-SVA-&The&concert,234
Transitional&Projects.Festival/event.316-Art&beat,316
Transitional&Projects.Festival/event.374-Songs&For&Christchurch,374
Transitional&Projects.Film/cinema,
Transitional&Projects.Film/cinema.12-Playtime,12
Transitional&Projects.Film/cinema.158-Film&in&the&gap,158
Transitional&Projects.Film/cinema.176-Cycle-powered&cinema,176
Transitional&Projects.Game,
Transitional&Projects.Game.164-CPIT&design/build,164
Transitional&Projects.Game.168-Lyttelton&petanque&club,168
